seq,tag,dbh,year,vigor_base2017,basal_area,bai,rbai,sap_vol,ssc,syrup_vol,crownclass2018,strata.pre,crownclass2020,strata.post,crown.class,ftg2017,pct.open.jan.2019,FTG2019,crown.area.2017,numb.taps2017
22,2813,15.1,2017,179.07358175999997,179.07358175999997,0,NA,34.05,1.15,0.45,i,lower,i,lower,c,0,0,0,243.34,22.5
22,2813,15.1,2018,179.07358175999997,179.07358175999997,0,0,38.74022122,1.54,0.35,i,lower,i,lower,c,0,0,0,243.34,22.5
22,2813,15.19,2019,179.07358175999997,181.21459527359997,2.141013513600001,1.1956054559010576,55.8,1.4,0.9,i,lower,i,lower,c,0,0,0,243.34,22.5
22,2813,15.15,2020,179.07358175999997,180.26146296,-0.9531323135999799,-0.5322573571334479,34.68,0.92,0.53,i,lower,i,lower,c,0,0,0,243.34,22.5
23,2814,NA,2016,208.66654943999998,NA,NA,NA,NA,NA,NA,c,upper,c,upper,c,0,115,2,467.67,13
23,2814,16.3,2017,208.66654943999998,208.66654943999998,NA,NA,28.18,1.73,0.63,c,upper,c,upper,c,0,115,2,467.67,13
23,2814,16.5,2018,208.66654943999998,213.818616,5.152066560000009,2.4690428695095834,36.31862147,1.75,0.59,c,upper,c,upper,c,0,115,2,467.67,13
23,2814,16.7,2019,208.66654943999998,219.03351263999997,5.214896639999978,2.4991531484060268,61.1,1.9,1.3,c,upper,c,upper,c,0,115,2,467.67,13
23,2814,16.75,2020,208.66654943999998,220.34705399999999,1.3135413600000163,0.6294930181790888,54.09,1.32,1.1,c,upper,c,upper,c,0,115,2,467.67,13
24,2815,NA,2016,174.36132576,NA,NA,NA,NA,NA,NA,i,lower,c,upper,i,1,315,4,622.48,21
24,2815,14.9,2017,174.36132576,174.36132576,NA,NA,13.9,1.8,0.35,i,lower,c,upper,i,1,315,4,622.48,21
24,2815,14.9,2018,174.36132576,174.36132576,0,0,26.41108958,1.78,0.79,i,lower,c,upper,i,1,315,4,622.48,21
24,2815,15,2019,174.36132576,176.7096,2.348274239999995,1.3467861808026635,47.7,2.2,1.2,i,lower,c,upper,i,1,315,4,622.48,21
24,2815,15,2020,174.36132576,176.7096,0,0,36.51,1.69,0.95,i,lower,c,upper,i,1,315,4,622.48,21
25,325,NA,2016,123.69868344000001,NA,NA,NA,NA,NA,NA,i,lower,c,upper,i,0,115,2,330.16,NA
25,325,12.55,2017,123.69868344000001,123.69868344000001,NA,NA,NA,NA,NA,i,lower,c,upper,i,0,115,2,330.16,NA
25,325,12.7,2018,123.69868344000001,126.67329503999999,2.9746115999999745,2.4047237345438752,25.70310685,1.2,0.58,i,lower,c,upper,i,0,115,2,330.16,NA
25,325,12.95,2019,123.69868344000001,131.70951863999997,5.036223599999985,4.07136394660401,41.1,1.3,0.6,i,lower,c,upper,i,0,115,2,330.16,NA
25,325,13.05,2020,123.69868344000001,133.75149624,2.041977600000024,1.650767448135763,50.45,0.97,0.81,i,lower,c,upper,i,0,115,2,330.16,NA
26,2816,NA,2016,81.71051903999998,NA,NA,NA,NA,NA,NA,i,lower,c,upper,i,0,90,1,179.14,1
26,2816,10.2,2017,81.71051903999998,81.71051903999998,NA,NA,23.38,1.1,0.32,i,lower,c,upper,i,0,90,1,179.14,1
26,2816,10.2,2018,81.71051903999998,81.71051903999998,0,0,32.92556383,1.2,0.26,i,lower,c,upper,i,0,90,1,179.14,1
26,2816,10.35,2019,81.71051903999998,84.13144055999999,2.4209215200000074,2.9628027681660996,29.5,1.5,0.5,i,lower,c,upper,i,0,90,1,179.14,1
26,2816,10.35,2020,81.71051903999998,84.13144055999999,0,0,26.15,0.97,0.48,i,lower,c,upper,i,0,90,1,179.14,1
27,2817,13.9,2016,153.933696,151.74249696,NA,NA,NA,NA,NA,c,upper,c,upper,c,0,225,3,634.33,14
27,2817,14,2017,153.933696,153.933696,2.1911990399999866,NA,31.48,1.6,0.76,c,upper,c,upper,c,0,225,3,634.33,14
27,2817,14.1,2018,153.933696,156.14060256,2.206906559999993,1.4336734693877506,29.64886909,1.66,0.97,c,upper,c,upper,c,0,225,3,634.33,14
27,2817,14.2,2019,153.933696,158.36321663999996,2.222614079999971,1.4438775510203894,35.8,2.4,1,c,upper,c,upper,c,0,225,3,634.33,14
27,2817,14.2,2020,153.933696,158.36321663999996,0,0,33.29,1.94,1.02,c,upper,c,upper,c,0,225,3,634.33,14
28,2818,14.2,2016,161.72658935999996,158.36321663999996,NA,NA,NA,NA,NA,c,upper,c,upper,c,45,45,1,481.07,17.5
28,2818,14.35,2017,161.72658935999996,161.72658935999996,3.363372720000001,NA,15.15,1.95,0.42,c,upper,c,upper,c,45,45,1,481.07,17.5
28,2818,14.4,2018,161.72658935999996,162.85556736,1.1289780000000462,0.6980781604730223,34.59077632,1.86,0.61,c,upper,c,upper,c,45,45,1,481.07,17.5
28,2818,14.4,2019,161.72658935999996,162.85556736,0,0,28.7,2.1,0.7,c,upper,c,upper,c,45,45,1,481.07,17.5
28,2818,14.4,2020,161.72658935999996,162.85556736,0,0,28.6,0.88,0.67,c,upper,c,upper,c,45,45,1,481.07,17.5
29,2819,NA,2016,89.91769823999998,NA,NA,NA,NA,NA,NA,i,lower,i,lower,i,0,135,2,204.65,15
29,2819,10.7,2017,89.91769823999998,89.91769823999998,NA,NA,11.6,1.7,0.28,i,lower,i,lower,i,0,135,2,204.65,15
29,2819,10.7,2018,89.91769823999998,89.91769823999998,0,0,17.32396514,1.66,0.52,i,lower,i,lower,i,0,135,2,204.65,15
29,2819,10.75,2019,89.91769823999998,90.760014,0.8423157600000195,0.9367630360730415,29.6,1.7,0.6,i,lower,i,lower,i,0,135,2,204.65,15
29,2819,10.75,2020,89.91769823999998,90.760014,0,0,26.79,1.54,0.54,i,lower,i,lower,i,0,135,2,204.65,15
30,2828,NA,2016,68.65953336,NA,NA,NA,NA,NA,NA,s,lower,s,lower,s,0,0,0,87.54,1
30,2828,9.35,2017,68.65953336,68.65953336,NA,NA,23.26,1.3,0.39,s,lower,s,lower,s,0,0,0,87.54,1
30,2828,9.4,2018,68.65953336,69.39582336000001,0.736290000000011,1.0723783922903303,50.32384529,1.36,0.52,s,lower,s,lower,s,0,0,0,87.54,1
30,2828,9.4,2019,68.65953336,69.39582336000001,0,0,24.5,1.3,0.4,s,lower,s,lower,s,0,0,0,87.54,1
30,2828,9.4,2020,68.65953336,69.39582336000001,0,0,24.88,0.84,0.34,s,lower,s,lower,s,0,0,0,87.54,1
31,2822,13.3,2016,140.39137909439998,138.92516064,NA,NA,NA,NA,NA,c,upper,c,upper,c,0,180,2,312.46,13.5
31,2822,13.37,2017,140.39137909439998,140.39137909439998,1.4662184543999786,NA,23.99,1.7,0.63,c,upper,c,upper,c,0,180,2,312.46,13.5
31,2822,13.4,2018,140.39137909439998,141.02211456,0.6307354656000257,0.44926937086066765,23.79477361,1.85,0.55,c,upper,c,upper,c,0,180,2,312.46,13.5
31,2822,13.5,2019,140.39137909439998,143.134776,2.1126614399999823,1.5048370160816047,22.3,1.9,0.5,c,upper,c,upper,c,0,180,2,312.46,13.5
31,2822,13.5,2020,140.39137909439998,143.134776,0,0,21.78,0.75,0.42,c,upper,c,upper,c,0,180,2,312.46,13.5
32,326,NA,2016,215.11644984,NA,NA,NA,NA,NA,NA,c,upper,c,upper,c,0,225,3,1138.92,NA
32,326,16.55,2017,215.11644984,215.11644984,NA,NA,NA,NA,NA,c,upper,c,upper,c,0,225,3,1138.92,NA
32,326,16.6,2018,215.11644984,216.41821056000003,1.3017607200000327,0.6051423407964664,40.33310767,1.61,0.71,c,upper,c,upper,c,0,225,3,1138.92,NA
32,326,16.8,2019,215.11644984,221.66452224,5.2463116799999625,2.438824034099708,47.8,1.9,1,c,upper,c,upper,c,0,225,3,1138.92,NA
32,326,16.82,2020,215.11644984,222.19260906239998,0.5280868223999846,0.24548881445039034,52.7,1.42,1.05,c,upper,c,upper,c,0,225,3,1138.92,NA
33,2820,NA,2016,282.03048504,NA,NA,NA,NA,NA,NA,c,upper,c,upper,c,0,360,4,457.72,18.5
33,2820,18.95,2017,282.03048504,282.03048504,NA,NA,20.64,1.75,0.52,c,upper,c,upper,c,0,360,4,457.72,18.5
33,2820,19.05,2018,282.03048504,285.01491384,2.984428800000046,1.0581936912163126,46.28289588,1.47,0.4,c,upper,c,upper,c,0,360,4,457.72,18.5
33,2820,19.35,2019,282.03048504,294.06244536,9.047531520000007,3.207997716529406,62.8,1.6,1.2,c,upper,c,upper,c,0,360,4,457.72,18.5
33,2820,19.35,2020,282.03048504,294.06244536,0,0,53.22,1.06,0.92,c,upper,c,upper,c,0,360,4,457.72,18.5
34,328,NA,2016,294.06244536,NA,NA,NA,NA,NA,NA,c,upper,c,upper,c,0,315,4,681.56,NA
34,328,19.35,2017,294.06244536,294.06244536,NA,NA,NA,NA,NA,c,upper,c,upper,c,0,315,4,681.56,NA
34,328,19.45,2018,294.06244536,297.1097042399999,3.0472588799999016,1.0362625109334707,13.66345571,1.58,0.39,c,upper,c,upper,c,0,315,4,681.56,NA
34,328,19.5,2019,294.06244536,298.639224,1.5295197600000847,0.5201343402172967,61.3,1.5,1,c,upper,c,upper,c,0,315,4,681.56,NA
34,328,19.5,2020,294.06244536,298.639224,0,0,67.8,0.91,1.02,c,upper,c,upper,c,0,315,4,681.56,NA
35,2821,16.2,2016,185.05225656,206.11407744,NA,NA,NA,NA,NA,c,upper,c,upper,c,0,180,2,332.36,15.5
35,2821,15.35,2017,185.05225656,185.05225656,-21.06182088,NA,27.2,1.7,0.69,c,upper,c,upper,c,0,180,2,332.36,15.5
35,2821,15.4,2018,185.05225656,186.25977216,1.207515600000022,0.6525268172606725,22.6309696,1.65,0.34,c,upper,c,upper,c,0,180,2,332.36,15.5
35,2821,15.5,2019,185.05225656,188.68658399999998,2.4268118399999707,1.3114197498116533,36.2,1.8,0.7,c,upper,c,upper,c,0,180,2,332.36,15.5
35,2821,15.53,2020,185.05225656,189.41769051839995,0.7311065183999688,0.39508111491897435,22.56,1,0.38,c,upper,c,upper,c,0,180,2,332.36,15.5
36,327,NA,2016,232.34563583999997,NA,NA,NA,NA,NA,NA,c,upper,c,upper,c,0,45,1,544.03,NA
36,327,17.2,2017,232.34563583999997,232.34563583999997,NA,NA,NA,NA,NA,c,upper,c,upper,c,0,45,1,544.03,NA
36,327,17.3,2018,232.34563583999997,235.05518304,2.7095472000000314,1.1661709031909278,38.53533783,1.71,0.52,c,upper,c,upper,c,0,45,1,544.03,NA
36,327,17.5,2019,232.34563583999997,240.5214,5.466216959999997,2.3526230394807994,49.1,1.5,0.9,c,upper,c,upper,c,0,45,1,544.03,NA
36,327,17.5,2020,232.34563583999997,240.5214,0,0,52.99,1.01,0.94,c,upper,c,upper,c,0,45,1,544.03,NA
37,329,NA,2016,114.03855864,NA,NA,NA,NA,NA,NA,c,upper,c,upper,c,0,90,1,289.78,NA
37,329,12.05,2017,114.03855864,114.03855864,NA,NA,NA,NA,NA,c,upper,c,upper,c,0,90,1,289.78,NA
37,329,12.15,2018,114.03855864,115.93916856,1.9006099199999937,1.6666379711093071,33.20862904,1.56,0.23,c,upper,c,upper,c,0,90,1,289.78,NA
37,329,12.3,2019,114.03855864,118.81953504,2.8803664800000064,2.525782958282404,26.8,1.7,0.5,c,upper,c,upper,c,0,90,1,289.78,NA
37,329,12.35,2020,114.03855864,119.78751095999998,0.9679759199999722,0.8488145865256896,28.02,1.02,0.5,c,upper,c,upper,c,0,90,1,289.78,NA
38,330,NA,2016,136.84391423999998,NA,NA,NA,NA,NA,NA,c,upper,c,upper,c,0,225,3,317.26,NA
38,330,13.2,2017,136.84391423999998,136.84391423999998,NA,NA,NA,NA,NA,c,upper,c,upper,c,0,225,3,317.26,NA
38,330,13.4,2018,136.84391423999998,141.02211456,4.17820032000003,3.0532598714417123,45.08112133,1.38,0.65,c,upper,c,upper,c,0,225,3,317.26,NA
38,330,13.63,2019,136.84391423999998,145.9047186144,4.882604054399991,3.5680096418732723,48.4,1.6,0.9,c,upper,c,upper,c,0,225,3,317.26,NA
38,330,13.71,2020,136.84391423999998,147.62249300160002,1.7177743872000235,1.255280073461909,35.12,0.87,0.61,c,upper,c,upper,c,0,225,3,317.26,NA
39,2823,NA,2016,132.32046263040002,NA,NA,NA,NA,NA,NA,c,upper,c,upper,c,0,225,3,421.41,13
39,2823,12.98,2017,132.32046263040002,132.32046263040002,NA,NA,22.89,1.35,0.45,c,upper,c,upper,c,0,225,3,421.41,13
39,2823,13.1,2018,132.32046263040002,134.77837535999998,2.4579127295999683,1.85754544742294,38.69170774,1.31,0.71,c,upper,c,upper,c,0,225,3,421.41,13
39,2823,13.3,2019,132.32046263040002,138.92516064,4.146785280000017,3.1338956935050137,43.2,1.5,0.7,c,upper,c,upper,c,0,225,3,421.41,13
39,2823,13.47,2020,132.32046263040002,142.49932827840001,3.574167638400013,2.701145059009841,21.01,1.26,0.33,c,upper,c,upper,c,0,225,3,421.41,13
40,2824,15.7,2016,197.30412216,193.58733023999997,NA,NA,NA,NA,NA,c,upper,c,upper,c,0,225,3,620.76,12.5
40,2824,15.85,2017,197.30412216,197.30412216,3.71679192000002,NA,33.61,1.25,0.58,c,upper,c,upper,c,0,225,3,620.76,12.5
40,2824,16,2018,197.30412216,201.056256,3.752133839999999,1.901700683656917,74.05303012,1.39,0.45,c,upper,c,upper,c,0,225,3,620.76,12.5
40,2824,16.2,2019,197.30412216,206.11407744,5.057821439999998,2.5634646578232436,49.7,1.5,0.8,c,upper,c,upper,c,0,225,3,620.76,12.5
40,2824,16.3,2020,197.30412216,208.66654943999998,2.5524719999999945,1.2936739344604855,50.04,1.07,0.81,c,upper,c,upper,c,0,225,3,620.76,12.5
41,331,NA,2016,136.84391423999998,NA,NA,NA,NA,NA,NA,i,lower,c,upper,i,0,90,1,370.44,NA
41,331,13.2,2017,136.84391423999998,136.84391423999998,NA,NA,NA,NA,NA,i,lower,c,upper,i,0,90,1,370.44,NA
41,331,13.3,2018,136.84391423999998,138.92516064,2.081246400000026,1.5208907254361994,27.04613409,1.56,0.45,i,lower,c,upper,i,0,90,1,370.44,NA
41,331,13.41,2019,136.84391423999998,141.2326738656,2.3075132255999904,1.6862373737373668,47,1.8,1,i,lower,c,upper,i,0,90,1,370.44,NA
41,331,13.5,2020,136.84391423999998,143.134776,1.9021021343999962,1.3899793388429726,40.96,1.11,0.71,i,lower,c,upper,i,0,90,1,370.44,NA
42,2825,NA,2016,111.21709536,NA,NA,NA,NA,NA,NA,i,lower,c,upper,i,0,315,4,501.17,11.5
42,2825,11.9,2017,111.21709536,111.21709536,NA,NA,18.43,1.08,0.28,i,lower,c,upper,i,0,315,4,501.17,11.5
42,2825,12,2018,111.21709536,113.094144,1.8770486399999982,1.6877339170962484,21.22273488,1.25,0.39,i,lower,c,upper,i,0,315,4,501.17,11.5
42,2825,12.35,2019,111.21709536,119.78751095999998,6.693366959999977,6.01828966880868,53.4,1.3,0.8,i,lower,c,upper,i,0,315,4,501.17,11.5
42,2825,12.57,2020,111.21709536,124.0932563424,4.305745382400019,3.871478002965909,40.03,1.1,0.6,i,lower,c,upper,i,0,315,4,501.17,11.5
43,2826,NA,2016,88.7450533344,NA,NA,NA,NA,NA,NA,s,lower,i,lower,s,0,270,4,209.56,12.5
43,2826,10.63,2017,88.7450533344,88.7450533344,NA,NA,4.9,0.95,0.07,s,lower,i,lower,s,0,270,4,209.56,12.5
43,2826,10.75,2018,88.7450533344,90.760014,2.0149606656000003,2.2705047660599544,14.0671918,1.2,0.23,s,lower,i,lower,s,0,270,4,209.56,12.5
43,2826,10.91,2019,88.7450533344,93.48181306560001,2.7217990656000097,3.066986793443017,23.3,1.4,0.4,s,lower,i,lower,s,0,270,4,209.56,12.5
43,2826,11.05,2020,88.7450533344,95.89637304000001,2.4145599744000066,2.7207826055405135,15.53,0.85,0.21,s,lower,i,lower,s,0,270,4,209.56,12.5
